PAT,pat,RED,red,IR,ir,TEMP,temp,env,real_imp,img_imp,REAL_IMP,IMG_IMP
,32179,,22530,,32602,,3476.0,2783.0,,,210.0,5397.0
,32179,,22534,,32614,,3475.0,2783.0,,,0.0,65280.0
,32167,,22464,,32362,,3473.0,2781.0,,,62162.0,5397.0
,32159,,22540,,32637,,3476.0,2780.0,,,65490.0,5397.0
,32156,,22550,,32648,,3475.0,2783.0,,,255.0,65535.0
,32154,,22559,,32683,,3476.0,2781.0,,,65490.0,65535.0
,32137,,22562,,32694,,3475.0,2781.0,,,62162.0,65301.0
,32137,,22573,,32717,,3473.0,2781.0,,,65490.0,5397.0
,32137,,22494,,32447,,3473.0,2783.0,,,65490.0,65535.0
,32128,,22582,,32728,,3475.0,2783.0,,,62162.0,65301.0
,32124,,22571,,32734,,3473.0,2783.0,,,62176.0,5436.0
,32136,,22573,,32755,,3475.0,2783.0,,,62171.0,5411.0
,32168,,22572,,32735,,3475.0,2783.0,,,62165.0,5404.0
,32168,,22560,,32703,,3473.0,2781.0,,,214.0,5441.0
,32190,,22519,,32534,,3475.0,2781.0,,,65494.0,5441.0
,32218,,22532,,32658,,3475.0,2784.0,,,62132.0,5425.0
,32257,,22512,,32603,,3473.0,2780.0,,,62152.0,5399.0
,32289,,22492,,32549,,3473.0,2780.0,,,65535.0,255.0
,32302,,22448,,32442,,3475.0,2783.0,,,65280.0,255.0
,32302,,22425,,32360,,3476.0,2781.0,,,62144.0,5453.0
,32314,,22534,,32614,,3476.0,2783.0,,,62144.0,5453.0
,32323,,22399,,32285,,3475.0,2780.0,,,62164.0,5462.0
,32336,,22374,,32185,,3473.0,2781.0,,,62128.0,5437.0
,32332,,22361,,32115,,3475.0,2781.0,,,172.0,5430.0
,32320,,22332,,32041,,3476.0,2783.0,,,62207.0,5430.0
,32320,,22562,,32694,,3475.0,2784.0,,,62157.0,5403.0
,32317,,22322,,31985,,3475.0,2784.0,,,65456.0,65535.0
,32314,,22300,,31944,,3473.0,2783.0,,,65535.0,65345.0
,32325,,22299,,31897,,3475.0,2783.0,,,65522.0,65535.0
,32322,,22283,,31870,,3476.0,2780.0,,,24.0,65386.0
,32326,,22267,,31856,,3473.0,2784.0,,,62207.0,5441.0
,32326,,22572,,32735,,3473.0,2783.0,,,65535.0,45311.0
,32316,,22281,,31845,,3472.0,2783.0,,,62128.0,5441.0
,32317,,22284,,31830,,3476.0,2784.0,,,62128.0,5441.0
,32310,,22275,,31843,,3473.0,2781.0,,,65456.0,5441.0
,32315,,22280,,31847,,3475.0,2783.0,,,62128.0,65535.0
,32308,,22272,,31848,,3475.0,2781.0,,,62127.0,5454.0
,32308,,22448,,32442,,3475.0,2783.0,,,62146.0,5460.0
,32299,,22295,,31852,,3475.0,2784.0,,,62151.0,5631.0
,32289,,22303,,31868,,3476.0,2783.0,,,62121.0,5427.0
,32296,,22297,,31887,,3476.0,2784.0,,,0.0,5459.0
,32299,,22309,,31908,,3475.0,2781.0,,,215.0,5438.0
,32298,,22309,,31926,,3475.0,2781.0,,,180.0,5403.0
,32298,,22332,,32041,,3475.0,2783.0,,,62132.0,5403.0
,32288,,22313,,31946,,3475.0,2781.0,,,62139.0,5425.0
,32287,,22325,,31966,,3476.0,2781.0,,,62129.0,5453.0
,32288,,22326,,31992,,3475.0,2784.0,,,62171.0,5414.0
,32280,,22347,,32023,,3473.0,2781.0,,,65495.0,5416.0
,32269,,22347,,32031,,3475.0,2783.0,,,62156.0,5406.0
,32269,,22267,,31856,,3473.0,2781.0,,,62144.0,5403.0
,32270,,22340,,32048,,3477.0,2781.0,,,62147.0,5458.0
,32273,,22339,,32076,,3476.0,2783.0,,,171.0,5407.0
,32270,,22356,,32075,,3479.0,2781.0,,,174.0,5404.0
,32270,,22360,,32089,,3475.0,2784.0,,,62126.0,5404.0
,32271,,22359,,32098,,3477.0,2783.0,,,62168.0,5453.0
,32271,,22272,,31848,,3475.0,2781.0,,,62116.0,5457.0
,32269,,22362,,32125,,3475.0,2780.0,,,29184.0,5430.0
,32271,,22365,,32125,,3475.0,2780.0,,,62156.0,5430.0
,32269,,22362,,32132,,3476.0,2781.0,,,62156.0,65334.0
,32288,,22373,,32147,,3475.0,2781.0,,,65535.0,52479.0
,32291,,22384,,32148,,3476.0,2781.0,,,65386.0,5430.0
,32291,,22309,,31926,,3475.0,2783.0,,,62156.0,65535.0
,32293,,22390,,32182,,3476.0,2783.0,,,62156.0,5430.0
,32283,,22384,,32184,,3475.0,2781.0,,,62156.0,5469.0
,32290,,22394,,32192,,3475.0,2784.0,,,62110.0,5452.0
,32293,,22397,,32216,,3475.0,2781.0,,,62207.0,5476.0
,32276,,22392,,32225,,3475.0,2783.0,,,62108.0,5450.0
,32276,,22347,,32031,,3477.0,2781.0,,,65535.0,65535.0
,32278,,22397,,32255,,3477.0,2783.0,,,62108.0,5450.0
,32269,,22407,,32261,,3475.0,2781.0,,,62108.0,5631.0
,32273,,22419,,32278,,3475.0,2781.0,,,65535.0,65535.0
,32272,,22416,,32299,,3477.0,2781.0,,,65535.0,5450.0
,32271,,22424,,32310,,3475.0,2783.0,,,62108.0,5450.0
,32271,,22359,,32098,,3476.0,2781.0,,,62108.0,5450.0
,32271,,22428,,32337,,3475.0,2783.0,,,62108.0,5450.0
,32259,,22440,,32351,,3477.0,2783.0,,,255.0,65354.0
,32263,,22434,,32370,,3475.0,2783.0,,,65436.0,5450.0
,32262,,22439,,32382,,3477.0,2783.0,,,65280.0,0.0
,32261,,22461,,32405,,3476.0,2783.0,,,62108.0,65535.0
,32261,,22384,,32148,,3473.0,2783.0,,,62108.0,5450.0
,32263,,22455,,32415,,3476.0,2779.0,,,62207.0,5450.0
,32253,,22461,,32428,,3476.0,2783.0,,,65535.0,65354.0
,32256,,22461,,32446,,3475.0,2783.0,,,62119.0,5631.0
,32245,,22474,,32458,,3476.0,2781.0,,,62119.0,5486.0
,32244,,22478,,32482,,3476.0,2781.0,,,255.0,65390.0
,32244,,22392,,32225,,3477.0,2784.0,,,62106.0,5631.0
,32238,,22481,,32503,,3476.0,2784.0,,,1.0,5568.0
,32237,,22489,,32523,,3476.0,2783.0,,,62109.0,5595.0
,32240,,22486,,32530,,3476.0,2781.0,,,62207.0,5595.0
,32241,,22500,,32566,,3476.0,2783.0,,,62129.0,5574.0
,32240,,22503,,32576,,3476.0,2780.0,,,62084.0,5566.0
,32240,,22424,,32310,,3477.0,2781.0,,,62115.0,5599.0
,32231,,22508,,32587,,3477.0,2783.0,,,1.0,0.0
,32230,,22514,,32602,,3475.0,2780.0,,,62074.0,5580.0
