,PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
41,,20696.0,3385.0,28280,2848.0,15972.0,26520.0,3424.0,26736.0,1704.0,61160.0,65245.0,62300.0
42,,20696.0,3386.0,28304,2848.0,15967.0,26536.0,3422.0,26736.0,1592.0,61360.0,65305.0,62519.0
43,,20696.0,3385.0,28288,2846.0,15963.0,26528.0,3425.0,26712.0,2000.0,60790.0,65138.0,62174.0
44,,20688.0,3385.0,28272,2846.0,15954.0,26520.0,3424.0,26712.0,1903.0,60719.0,64984.0,62247.0
45,,20680.0,3385.0,28296,2848.0,15945.0,26552.0,3424.0,26760.0,2220.0,61213.0,65184.0,62234.0
46,,20680.0,3386.0,28304,2848.0,15971.0,26496.0,3421.0,26736.0,1945.0,60420.0,65104.0,62454.0
47,,20688.0,3385.0,28280,2848.0,15975.0,26504.0,3424.0,26736.0,2201.0,61253.0,65365.0,62267.0
48,,20648.0,3385.0,28288,2846.0,15966.0,26488.0,3424.0,26736.0,2138.0,60812.0,2.0,62247.0
49,,20704.0,3386.0,28296,2846.0,15616.0,26488.0,3424.0,26752.0,2265.0,60950.0,65310.0,62304.0
50,,20664.0,3385.0,28288,2848.0,15947.0,26440.0,3425.0,26768.0,2184.0,61208.0,65519.0,62333.0
51,,20664.0,3386.0,28296,2845.0,15946.0,26448.0,3425.0,26760.0,1751.0,61097.0,65412.0,62171.0
52,,20680.0,3388.0,28312,2848.0,15937.0,26448.0,3424.0,26760.0,1737.0,61220.0,65517.0,62048.0
53,,20680.0,3388.0,28280,2846.0,15942.0,26448.0,3422.0,26768.0,2230.0,61170.0,65188.0,62005.0
54,,20640.0,3386.0,28320,2846.0,15958.0,26416.0,3425.0,26744.0,184.0,64895.0,65130.0,61807.0
55,,20648.0,3386.0,28272,2848.0,15984.0,26408.0,3425.0,26776.0,482.0,65383.0,65362.0,62313.0
56,,20904.0,3385.0,28224,2848.0,15975.0,26448.0,3422.0,26720.0,420.0,64997.0,65513.0,62255.0
57,,20912.0,3386.0,28240,2849.0,15983.0,26424.0,3424.0,26792.0,309.0,65522.0,65270.0,62149.0
58,,20912.0,3389.0,28264,2846.0,15977.0,26440.0,3425.0,26752.0,68.0,65513.0,65255.0,62152.0
59,,20920.0,3386.0,28224,2848.0,15595.0,26416.0,3427.0,26752.0,1985.0,60145.0,65276.0,62098.0
60,,20920.0,3388.0,28264,2845.0,15944.0,26440.0,3428.0,26760.0,2272.0,60541.0,65239.0,62155.0
61,,20888.0,3388.0,28248,2846.0,15952.0,26448.0,3424.0,26776.0,1821.0,60627.0,65229.0,62177.0
62,,20896.0,3386.0,28264,2846.0,15953.0,26424.0,3425.0,26736.0,2390.0,60276.0,65080.0,62535.0
63,,20880.0,3386.0,28232,2849.0,15953.0,26432.0,3425.0,26768.0,1990.0,60297.0,65085.0,61855.0
64,,20848.0,3388.0,28264,2845.0,15942.0,26408.0,3427.0,26736.0,2291.0,60540.0,64902.0,62140.0
65,,20864.0,3386.0,28272,2848.0,15969.0,26408.0,3424.0,26776.0,1957.0,60284.0,65249.0,61842.0
66,,20864.0,3385.0,28280,2845.0,15961.0,26384.0,3425.0,26776.0,2569.0,58734.0,64941.0,61967.0
67,,20832.0,3389.0,28280,2846.0,15963.0,26352.0,3425.0,26784.0,2305.0,60601.0,65073.0,61814.0
68,,20832.0,3384.0,28264,2849.0,15963.0,26384.0,3424.0,26776.0,1953.0,59808.0,64903.0,62050.0
69,,20832.0,3386.0,28240,2849.0,15681.0,26352.0,3425.0,26776.0,2318.0,59665.0,62.0,61885.0
70,,20848.0,3386.0,28280,2846.0,15948.0,26336.0,3425.0,26784.0,1815.0,60535.0,65519.0,61967.0
71,,20832.0,3386.0,28272,2848.0,15935.0,26312.0,3427.0,26800.0,636.0,64298.0,65092.0,62617.0
72,,20848.0,3386.0,28264,2848.0,15935.0,26328.0,3425.0,26784.0,72.0,64482.0,48.0,62369.0
73,,20816.0,3382.0,28272,2846.0,15934.0,26304.0,3424.0,26808.0,364.0,64081.0,23.0,62409.0
74,,20840.0,3385.0,28256,2848.0,15941.0,26280.0,3427.0,26808.0,66.0,64280.0,65310.0,62141.0
75,,20840.0,3384.0,28280,2846.0,15962.0,26288.0,3424.0,26792.0,383.0,64074.0,64995.0,62550.0
76,,20832.0,3386.0,28240,2848.0,15962.0,26280.0,3424.0,26832.0,2158.0,58637.0,65312.0,62192.0
77,,20856.0,3386.0,28248,2846.0,15962.0,26256.0,3425.0,26792.0,322.0,64058.0,65275.0,62269.0
78,,20848.0,3386.0,28256,2848.0,15962.0,26256.0,3425.0,26808.0,2731.0,58440.0,65316.0,62205.0
79,,20856.0,3389.0,28264,2844.0,15803.0,26240.0,3424.0,26824.0,419.0,64684.0,65407.0,62551.0
80,,20816.0,3388.0,28264,2846.0,15940.0,26232.0,3427.0,26816.0,363.0,64063.0,65316.0,62216.0
81,,20856.0,3388.0,28248,2846.0,15934.0,26208.0,3425.0,26832.0,656.0,64312.0,65220.0,62100.0
82,,20816.0,3388.0,28272,2846.0,15941.0,26208.0,3425.0,26832.0,2526.0,59284.0,65174.0,62154.0
83,,20832.0,3386.0,28264,2846.0,15937.0,26200.0,3427.0,26824.0,2682.0,58252.0,225.0,62237.0
84,,20824.0,3388.0,28272,2848.0,15938.0,26192.0,3424.0,26848.0,2487.0,58705.0,65281.0,62094.0
85,,20824.0,3388.0,28272,2848.0,15959.0,26200.0,3425.0,26840.0,2690.0,58592.0,65479.0,61767.0
86,,20840.0,3386.0,28256,2848.0,15963.0,26128.0,3424.0,26832.0,2495.0,59903.0,64993.0,61762.0
87,,20816.0,3388.0,28240,2848.0,15952.0,26168.0,3425.0,26832.0,611.0,64561.0,91.0,61973.0
88,,20784.0,3386.0,28272,2846.0,15962.0,26192.0,3427.0,26856.0,2361.0,59002.0,65122.0,61760.0
89,,20824.0,3388.0,28264,2848.0,15814.0,26144.0,3425.0,26848.0,2415.0,58428.0,64975.0,61791.0
90,,20800.0,3388.0,28272,2845.0,15944.0,26152.0,3427.0,26872.0,2357.0,58281.0,65194.0,62145.0
91,,20800.0,3388.0,28272,2846.0,15949.0,26120.0,3427.0,26832.0,2475.0,58464.0,64747.0,62500.0
92,,20760.0,3388.0,28304,2846.0,15951.0,26112.0,3427.0,26848.0,2717.0,58423.0,64778.0,62419.0
93,,20752.0,3386.0,28280,2846.0,15962.0,26128.0,3425.0,26864.0,2746.0,58161.0,64868.0,62751.0
94,,20776.0,3388.0,28264,2845.0,15963.0,26112.0,3428.0,26856.0,2325.0,58110.0,64731.0,62375.0
95,,20784.0,3388.0,28272,2845.0,15986.0,26120.0,3428.0,26864.0,2296.0,58079.0,64834.0,61762.0
96,,20760.0,3389.0,28256,2846.0,15986.0,26104.0,3430.0,26848.0,2608.0,58162.0,64876.0,61869.0
97,,20760.0,3386.0,28296,2848.0,15991.0,26088.0,3427.0,26864.0,2511.0,58204.0,65070.0,62860.0
98,,20752.0,3388.0,28256,2846.0,15989.0,26072.0,3427.0,26872.0,2208.0,58286.0,65035.0,62681.0
99,,20768.0,3389.0,28288,2846.0,15830.0,26064.0,3428.0,26864.0,78.0,64174.0,64604.0,62358.0
100,,20744.0,3389.0,28304,2849.0,15972.0,26048.0,3425.0,26888.0,2478.0,58830.0,64770.0,62350.0
101,,20760.0,3389.0,28296,2845.0,15972.0,26032.0,3428.0,26856.0,346.0,64709.0,120.0,62641.0
102,,20744.0,3389.0,28272,2848.0,15972.0,26016.0,3427.0,26880.0,2745.0,58160.0,65270.0,62247.0
103,,20768.0,3389.0,28288,2846.0,15958.0,26080.0,3428.0,26864.0,2745.0,58108.0,64722.0,62535.0
104,,20744.0,3389.0,28296,2845.0,15958.0,26112.0,3428.0,26864.0,2252.0,57934.0,65221.0,62446.0
105,,20720.0,3389.0,28312,2848.0,15985.0,26112.0,3427.0,26864.0,2242.0,57952.0,64756.0,61850.0
106,,20712.0,3388.0,28288,2846.0,15989.0,26168.0,3430.0,26832.0,2221.0,58001.0,64811.0,61907.0
107,,20712.0,3389.0,28288,2848.0,15982.0,26216.0,3427.0,26832.0,2218.0,58015.0,214.0,62546.0
108,,20736.0,3392.0,28296,2848.0,15983.0,26296.0,3428.0,26808.0,2567.0,57782.0,177.0,62361.0
109,,20728.0,3389.0,28288,2848.0,15827.0,26384.0,3428.0,26784.0,2444.0,57766.0,208.0,62543.0
110,,20704.0,3388.0,28304,2846.0,15955.0,26440.0,3425.0,26768.0,2345.0,57790.0,105.0,62503.0
111,,20704.0,3392.0,28296,2848.0,15950.0,26456.0,3427.0,26736.0,2246.0,57911.0,65484.0,61701.0
112,,20696.0,3389.0,28288,2846.0,15954.0,26496.0,3430.0,26752.0,2396.0,57774.0,65529.0,61838.0
113,,20704.0,3389.0,28296,2846.0,15956.0,26528.0,3427.0,26744.0,2224.0,57989.0,206.0,61945.0
114,,20704.0,3388.0,28312,2845.0,15959.0,26536.0,3427.0,26720.0,2463.0,59767.0,189.0,62212.0
115,,20640.0,3389.0,28312,2846.0,15978.0,26552.0,3427.0,26720.0,2746.0,58238.0,155.0,61882.0
116,,20672.0,3391.0,28320,2846.0,15972.0,26520.0,3430.0,26712.0,2735.0,58337.0,190.0,62314.0
117,,20664.0,3389.0,28304,2848.0,15973.0,26552.0,3425.0,26728.0,2506.0,59731.0,64797.0,62465.0
118,,20632.0,3388.0,28304,2846.0,15977.0,26552.0,3428.0,26752.0,2441.0,58583.0,64818.0,61981.0
119,,20672.0,3391.0,28288,2846.0,15818.0,26568.0,3427.0,26720.0,2444.0,59437.0,64651.0,62291.0
120,,20680.0,3391.0,28312,2846.0,15963.0,26560.0,3430.0,26712.0,2576.0,59444.0,64870.0,62064.0
121,,20736.0,3392.0,28296,2845.0,15959.0,26528.0,3428.0,26712.0,664.0,64281.0,65058.0,62770.0
122,,20712.0,3391.0,28296,2846.0,15951.0,26576.0,3430.0,26688.0,547.0,64540.0,64924.0,62569.0
123,,20768.0,3388.0,28272,2848.0,15943.0,26552.0,3427.0,26728.0,2258.0,59897.0,64740.0,62091.0
124,,20776.0,3392.0,28272,2848.0,15950.0,26568.0,3428.0,26712.0,2626.0,58754.0,65153.0,62221.0
125,,20792.0,3391.0,28264,2846.0,15973.0,26560.0,3430.0,26720.0,1974.0,61208.0,65189.0,62311.0
126,,20856.0,3391.0,28248,2846.0,15986.0,26528.0,3430.0,26728.0,2212.0,58467.0,65187.0,62682.0
127,,20864.0,3389.0,28264,2848.0,15977.0,26520.0,3431.0,26728.0,1832.0,60302.0,64825.0,62559.0
128,,20912.0,3389.0,28248,2846.0,15981.0,26496.0,3427.0,26744.0,2555.0,58660.0,65419.0,62348.0
129,,20888.0,3391.0,28232,2848.0,15919.0,26464.0,3428.0,26744.0,2576.0,59436.0,139.0,62449.0
130,,20928.0,3389.0,28240,2849.0,15960.0,26472.0,3428.0,26736.0,2198.0,58333.0,49.0,62335.0
131,,20912.0,3391.0,28208,2846.0,15963.0,26464.0,3430.0,26760.0,2244.0,58093.0,65025.0,62642.0
132,,20936.0,3391.0,28224,2848.0,15948.0,26432.0,3427.0,26752.0,2120.0,59820.0,64919.0,62495.0
133,,20936.0,3392.0,28224,2846.0,15947.0,26456.0,3430.0,26776.0,2246.0,60207.0,113.0,61953.0
134,,20920.0,3389.0,28224,2849.0,15944.0,26440.0,3428.0,26736.0,2276.0,58299.0,186.0,62302.0
135,,20968.0,3391.0,28232,2846.0,15969.0,26432.0,3430.0,26752.0,713.0,64019.0,65469.0,62557.0
136,,20944.0,3392.0,28232,2848.0,15968.0,26440.0,3428.0,26752.0,2173.0,58846.0,65313.0,62635.0
137,,20960.0,3391.0,28232,2849.0,15967.0,26408.0,3428.0,26760.0,20.0,64312.0,154.0,62461.0
138,,20960.0,3389.0,28248,2848.0,15962.0,26408.0,3428.0,26776.0,2657.0,57958.0,65270.0,62291.0
139,,20944.0,3389.0,28240,2846.0,15905.0,26432.0,3431.0,26744.0,2668.0,57824.0,65415.0,61834.0
140,,20936.0,3389.0,28240,2849.0,15946.0,26424.0,3428.0,26768.0,2337.0,58929.0,65367.0,61823.0
141,,20928.0,3389.0,28224,2849.0,15958.0,26432.0,3428.0,26744.0,500.0,64108.0,64738.0,62068.0
142,,20920.0,3389.0,28224,2846.0,15956.0,26432.0,3428.0,26744.0,2157.0,58825.0,64710.0,62127.0
143,,20928.0,3391.0,28232,2851.0,15952.0,26416.0,3428.0,26776.0,2207.0,58159.0,65097.0,61838.0
144,,20928.0,3389.0,28240,2848.0,15959.0,26392.0,3430.0,26760.0,2527.0,57731.0,65159.0,62202.0
145,,20944.0,3389.0,28232,2849.0,15947.0,26400.0,3428.0,26792.0,2281.0,59212.0,150.0,62184.0
146,,20904.0,3389.0,28232,2845.0,15953.0,26376.0,3432.0,26760.0,2168.0,58949.0,65519.0,61868.0
147,,20904.0,3391.0,28256,2848.0,15955.0,26384.0,3427.0,26784.0,2218.0,59098.0,64862.0,61857.0
148,,20904.0,3386.0,28248,2846.0,15950.0,26368.0,3431.0,26784.0,2574.0,59171.0,64928.0,61924.0
149,,20928.0,3391.0,28240,2848.0,15905.0,26336.0,3431.0,26776.0,2429.0,59339.0,65287.0,61796.0
150,,20920.0,3389.0,28232,2849.0,15952.0,26320.0,3431.0,26784.0,2263.0,58888.0,65053.0,61871.0
151,,20896.0,3391.0,28224,2848.0,15952.0,26304.0,3430.0,26800.0,2359.0,58513.0,64817.0,62299.0
152,,20904.0,3391.0,28224,2846.0,15953.0,26288.0,3430.0,26768.0,2620.0,58834.0,64808.0,62302.0
153,,20928.0,3391.0,28232,2848.0,15949.0,26312.0,3430.0,26784.0,2616.0,58589.0,136.0,62275.0
154,,20912.0,3389.0,28240,2848.0,15953.0,26288.0,3428.0,26800.0,2223.0,58382.0,167.0,62234.0
155,,20920.0,3389.0,28248,2846.0,15968.0,26280.0,3428.0,26800.0,2200.0,58283.0,65290.0,62714.0
156,,20912.0,3391.0,28248,2851.0,15971.0,26256.0,3428.0,26808.0,2715.0,58543.0,65440.0,62669.0
157,,20896.0,3391.0,28232,2846.0,15973.0,26248.0,3431.0,26816.0,2268.0,60578.0,1.0,61900.0
158,,20880.0,3391.0,28240,2845.0,15973.0,26264.0,3427.0,26808.0,2218.0,58671.0,65403.0,61751.0
159,,20872.0,3389.0,28216,2846.0,15893.0,26256.0,3431.0,26824.0,24.0,64333.0,65204.0,62738.0
160,,20888.0,3389.0,28256,2848.0,15944.0,26216.0,3430.0,26832.0,209.0,64673.0,65290.0,62735.0
161,,20888.0,3389.0,28240,2849.0,15939.0,26200.0,3430.0,26832.0,297.0,64729.0,17.0,61927.0
162,,20864.0,3391.0,28240,2848.0,15939.0,26216.0,3430.0,26824.0,2165.0,59287.0,65220.0,62160.0
163,,20896.0,3391.0,28240,2845.0,15938.0,26184.0,3428.0,26848.0,2439.0,58125.0,65299.0,62155.0
164,,20888.0,3389.0,28256,2848.0,15936.0,26192.0,3430.0,26840.0,2071.0,59476.0,65299.0,62207.0
165,,20856.0,3389.0,28256,2849.0,15962.0,26184.0,3430.0,26840.0,2051.0,59419.0,64785.0,62038.0
166,,20856.0,3388.0,28264,2848.0,15960.0,26152.0,3431.0,26848.0,2431.0,57929.0,64739.0,62220.0
167,,20888.0,3392.0,28264,2848.0,15963.0,26160.0,3430.0,26848.0,2633.0,58028.0,65433.0,61902.0
168,,20840.0,3389.0,28248,2846.0,15958.0,26168.0,3432.0,26832.0,2208.0,58333.0,65164.0,61846.0
169,,20840.0,3389.0,28232,2846.0,15889.0,26128.0,3431.0,26856.0,2202.0,58424.0,64724.0,62155.0
170,,20824.0,3391.0,28248,2846.0,15923.0,26088.0,3428.0,26864.0,2088.0,60692.0,64820.0,62539.0
171,,20832.0,3391.0,28256,2846.0,15928.0,26128.0,3431.0,26832.0,2185.0,61238.0,65038.0,61798.0
172,,20832.0,3386.0,28248,2848.0,15923.0,26120.0,3428.0,26880.0,2099.0,59338.0,64905.0,61860.0
173,,20848.0,3389.0,28264,2848.0,15920.0,26120.0,3430.0,26856.0,2103.0,60741.0,65519.0,62107.0
174,,20856.0,3388.0,28240,2846.0,15927.0,26136.0,3432.0,26856.0,2518.0,59978.0,6.0,62388.0
175,,20824.0,3388.0,28240,2848.0,15953.0,26104.0,3430.0,26880.0,2396.0,60206.0,65284.0,61796.0
176,,20800.0,3389.0,28288,2848.0,15959.0,26080.0,3430.0,26864.0,2291.0,60443.0,65505.0,62039.0
177,,20816.0,3389.0,28264,2848.0,15963.0,26048.0,3428.0,26856.0,2308.0,60471.0,65432.0,62480.0
178,,20816.0,3391.0,28264,2849.0,15965.0,26032.0,3435.0,26880.0,2145.0,60122.0,65228.0,62596.0
179,,20776.0,3389.0,28232,2846.0,15922.0,26032.0,3431.0,26888.0,2015.0,60261.0,47.0,62207.0
180,,20808.0,3389.0,28240,2848.0,15945.0,26008.0,3431.0,26896.0,2310.0,60522.0,34.0,62208.0
181,,20808.0,3389.0,28264,2849.0,15951.0,26000.0,3428.0,26888.0,2443.0,60251.0,64858.0,62438.0
182,,20792.0,3391.0,28256,2846.0,15949.0,25984.0,3432.0,26904.0,1966.0,60744.0,64894.0,62375.0
183,,20800.0,3389.0,28304,2849.0,15953.0,25976.0,3430.0,26888.0,2197.0,60427.0,52.0,62239.0
184,,20784.0,3388.0,28296,2849.0,15953.0,25952.0,3431.0,26904.0,1931.0,60036.0,36.0,62258.0
185,,20768.0,3391.0,28272,2849.0,15978.0,25960.0,3431.0,26920.0,1873.0,60537.0,65344.0,61931.0
186,,20784.0,3389.0,28272,2848.0,15978.0,25928.0,3431.0,26912.0,2469.0,60309.0,65449.0,61976.0
187,,20760.0,3389.0,28296,2849.0,15968.0,25936.0,3432.0,26904.0,2296.0,60456.0,64940.0,62025.0
188,,20768.0,3388.0,28288,2849.0,15975.0,25952.0,3431.0,26904.0,2189.0,60302.0,65023.0,61931.0
189,,20744.0,3391.0,28288,2846.0,15926.0,26024.0,3431.0,26896.0,2329.0,60849.0,73.0,62419.0
190,,20784.0,3389.0,28272,2848.0,15950.0,26040.0,3430.0,26888.0,1810.0,60593.0,65250.0,62639.0
191,,20744.0,3391.0,28272,2845.0,15954.0,26120.0,3432.0,26880.0,2010.0,60828.0,65456.0,61934.0
192,,20768.0,3388.0,28288,2849.0,15941.0,26176.0,3431.0,26856.0,2065.0,60503.0,35.0,62232.0
193,,20744.0,3389.0,28288,2848.0,15947.0,26232.0,3432.0,26832.0,2330.0,60776.0,65087.0,61721.0
194,,20712.0,3389.0,28272,2848.0,15951.0,26296.0,3432.0,26816.0,2154.0,60055.0,65124.0,61917.0
195,,20744.0,3389.0,28296,2848.0,15964.0,26328.0,3431.0,26776.0,1916.0,60186.0,65239.0,61854.0
196,,20744.0,3392.0,28312,2848.0,15968.0,26376.0,3432.0,26784.0,1906.0,60714.0,65512.0,62064.0
197,,20736.0,3392.0,28280,2849.0,15967.0,26392.0,3431.0,26784.0,2143.0,61048.0,65018.0,62564.0
198,,20696.0,3391.0,28288,2849.0,15962.0,26440.0,3430.0,26768.0,2289.0,59991.0,64883.0,62398.0
199,,20696.0,3391.0,28288,2849.0,15940.0,26448.0,3432.0,26752.0,2009.0,60026.0,65037.0,61959.0
200,,20672.0,3389.0,28280,2849.0,15964.0,26472.0,3432.0,26768.0,2463.0,60298.0,65323.0,61955.0
201,,20672.0,3391.0,28304,2849.0,15964.0,26456.0,3431.0,26752.0,2481.0,60160.0,65288.0,62640.0
202,,20664.0,3389.0,28296,2848.0,15963.0,26424.0,3431.0,26744.0,2301.0,60433.0,64990.0,62521.0
203,,20680.0,3389.0,28304,2849.0,15958.0,26456.0,3434.0,26760.0,1999.0,59849.0,35.0,62140.0
204,,20696.0,3391.0,28304,2848.0,15953.0,26424.0,3432.0,26752.0,2485.0,58700.0,38.0,62220.0
205,,20680.0,3388.0,28296,2845.0,15982.0,26472.0,3432.0,26760.0,2138.0,58850.0,65464.0,62470.0
206,,20736.0,3389.0,28296,2849.0,15978.0,26432.0,3432.0,26768.0,2688.0,58754.0,64985.0,62518.0
207,,20808.0,3391.0,28280,2848.0,15984.0,26456.0,3430.0,26760.0,2240.0,58646.0,65378.0,62679.0
208,,20768.0,3391.0,28296,2848.0,15982.0,26472.0,3434.0,26760.0,2633.0,58690.0,64867.0,62556.0
209,,20832.0,3389.0,28256,2848.0,15919.0,26432.0,3431.0,26744.0,2297.0,58664.0,139.0,62276.0
210,,20864.0,3389.0,28248,2848.0,15958.0,26416.0,3432.0,26744.0,2242.0,58838.0,65080.0,62692.0
211,,20856.0,3388.0,28232,2849.0,15963.0,26400.0,3431.0,26752.0,2167.0,59423.0,95.0,62452.0
212,,20888.0,3392.0,28216,2848.0,15951.0,26384.0,3432.0,26776.0,1970.0,60000.0,65273.0,62703.0
213,,20904.0,3389.0,28224,2849.0,15952.0,26392.0,3432.0,26760.0,2243.0,60542.0,65111.0,62676.0
214,,20968.0,3391.0,28256,2848.0,15966.0,26376.0,3431.0,26776.0,1898.0,60622.0,64778.0,62211.0
215,,20968.0,3391.0,28240,2848.0,15971.0,26368.0,3432.0,26768.0,2331.0,60746.0,64847.0,62408.0
216,,20952.0,3391.0,28224,2848.0,15981.0,26360.0,3434.0,26792.0,2134.0,60791.0,64999.0,61955.0
217,,20920.0,3391.0,28224,2848.0,15977.0,26360.0,3431.0,26792.0,2370.0,60494.0,64850.0,62248.0
218,,20968.0,3392.0,28232,2848.0,15979.0,26384.0,3432.0,26784.0,1817.0,60566.0,65254.0,61887.0
219,,20984.0,3391.0,28216,2848.0,15919.0,26344.0,3432.0,26808.0,1431.0,63293.0,65010.0,61964.0
220,,20928.0,3388.0,28216,2851.0,15954.0,26328.0,3431.0,26808.0,28.0,64928.0,15.0,62157.0
221,,20976.0,3394.0,28184,2849.0,15939.0,26368.0,3432.0,26808.0,65397.0,65200.0,64992.0,62488.0
222,,20928.0,3392.0,28208,2848.0,15951.0,26352.0,3432.0,26776.0,65463.0,65018.0,65147.0,62074.0
223,,20928.0,3392.0,28232,2849.0,15943.0,26360.0,3432.0,26800.0,62.0,6.0,65258.0,62483.0
224,,20968.0,3391.0,28200,2849.0,15933.0,26312.0,3431.0,26800.0,1167.0,62844.0,65216.0,62268.0
225,,20976.0,3392.0,28248,2846.0,15967.0,26312.0,3434.0,26800.0,1626.0,62879.0,65232.0,62263.0
226,,20968.0,3389.0,28232,2849.0,15963.0,26360.0,3432.0,26808.0,1936.0,60419.0,65196.0,62249.0
227,,20944.0,3388.0,28232,2848.0,15964.0,26328.0,3434.0,26792.0,1762.0,60617.0,64891.0,62436.0
