pat,red,ir,real_imp,img_imp,temp,env
24418,22529.0,31948.0,6458.0,61408.0,3548.0,3199.0
24427,22542.0,31952.0,6455.0,61420.0,3547.0,3196.0
24411,22544.0,31957.0,6455.0,61415.0,3551.0,3197.0
23986,22535.0,31978.0,6448.0,61407.0,3547.0,3196.0
23986,22522.0,32035.0,6461.0,61416.0,3548.0,3197.0
24392,22493.0,32089.0,6469.0,61413.0,3548.0,3196.0
24373,22477.0,32166.0,6444.0,61417.0,3550.0,3199.0
24347,22454.0,32218.0,6456.0,61417.0,3550.0,3196.0
24347,22422.0,32365.0,6459.0,61423.0,3550.0,3197.0
24363,22388.0,32434.0,6457.0,61407.0,3547.0,3197.0
24353,22367.0,32494.0,6466.0,61418.0,3550.0,3194.0
24352,22347.0,32538.0,6447.0,61411.0,3550.0,3196.0
24352,22325.0,32634.0,6463.0,61414.0,3550.0,3197.0
24338,22298.0,32643.0,6472.0,61416.0,3550.0,3194.0
24313,22300.0,32657.0,6452.0,61413.0,3548.0,3197.0
24330,22284.0,32671.0,6451.0,61422.0,3548.0,3197.0
24330,22293.0,32668.0,6441.0,61419.0,3548.0,3199.0
24316,22296.0,32676.0,6450.0,61421.0,3548.0,3196.0
24311,22287.0,32674.0,6453.0,61409.0,3550.0,3196.0
24280,22291.0,32663.0,6451.0,61410.0,3548.0,3200.0
24280,22309.0,32619.0,6463.0,61416.0,3548.0,3197.0
24209,22323.0,32602.0,6452.0,61417.0,3548.0,3199.0
24298,22324.0,32583.0,6463.0,61411.0,3551.0,3199.0
24308,22327.0,32557.0,6463.0,61414.0,3548.0,3197.0
24308,22342.0,32532.0,6450.0,61407.0,3550.0,3199.0
24296,22362.0,32488.0,6457.0,61420.0,3548.0,3194.0
24292,22375.0,32471.0,6449.0,61419.0,3551.0,3196.0
24302,22371.0,32468.0,6442.0,61424.0,3548.0,3197.0
24302,22378.0,32449.0,6453.0,61416.0,3548.0,3194.0
24334,22378.0,32442.0,6453.0,61418.0,3548.0,3196.0
24331,22378.0,32437.0,6450.0,61419.0,3550.0,3197.0
24329,22382.0,32434.0,6457.0,61421.0,3551.0,3194.0
24329,22383.0,32426.0,6453.0,61418.0,3548.0,3194.0
24284,22366.0,32422.0,6451.0,61419.0,3547.0,3197.0
24265,22375.0,32425.0,6455.0,61417.0,3548.0,3199.0
24268,22372.0,32406.0,6462.0,61414.0,3550.0,3199.0
24268,22373.0,32416.0,6448.0,61423.0,3548.0,3194.0
24249,22375.0,32416.0,6457.0,61410.0,3552.0,3197.0
24109,22379.0,32421.0,6459.0,61407.0,3548.0,3196.0
24245,22381.0,32405.0,6445.0,61424.0,3551.0,3197.0
24245,22388.0,32395.0,6456.0,61413.0,3550.0,3199.0
24285,22382.0,32375.0,6463.0,61417.0,3550.0,3196.0
24275,22389.0,32385.0,6452.0,61411.0,3547.0,3199.0
24314,22400.0,32366.0,6454.0,61420.0,3548.0,3199.0
24314,22402.0,32347.0,6461.0,61412.0,3548.0,3196.0
24333,22406.0,32340.0,6458.0,61407.0,3550.0,3199.0
24362,22420.0,32309.0,6454.0,61414.0,3550.0,3197.0
24376,22416.0,32293.0,6471.0,61418.0,3548.0,3197.0
24376,22416.0,32267.0,6451.0,61426.0,3550.0,3199.0
24411,22433.0,32247.0,6463.0,61421.0,3544.0,3197.0
24360,22437.0,32232.0,6457.0,61414.0,3547.0,3199.0
24415,22433.0,32230.0,6454.0,61424.0,3551.0,3197.0
24415,22446.0,32200.0,6467.0,61419.0,3550.0,3196.0
