PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
14625,8072,3034.0,648,,,,,,,,63676.0,63121.0
14617,8064,3035.0,648,,,,,,,,63676.0,63119.0
14627,8048,3032.0,624,,,,,,,,63675.0,63121.0
14632,8056,3032.0,640,,,,,,,,63675.0,63120.0
14682,8072,3034.0,632,,,,,,,,63676.0,63121.0
14684,8064,3031.0,640,,,,,,,,63676.0,63120.0
14682,8064,3034.0,632,,,,,,,,63675.0,63121.0
14684,8072,3034.0,664,,,,,,,,63675.0,63119.0
14681,8088,3032.0,640,,,,,,,,63676.0,63120.0
14682,8040,3032.0,656,,,,,,,,63676.0,63120.0
14682,8056,3032.0,640,,,,,,,,63676.0,63121.0
14678,8080,3032.0,648,,,,,,,,63675.0,63120.0
14659,8072,3031.0,648,,,,,,,,63676.0,63121.0
14690,8048,3035.0,624,,,,,,,,63676.0,63119.0
14671,8056,3031.0,648,,,,,,,,63676.0,63122.0
14682,8056,3032.0,640,,,,,,,,63676.0,63121.0
14647,8056,3032.0,664,,,,,,,,63675.0,63121.0
14637,8080,3032.0,648,,,,,,,,63677.0,63120.0
14616,8056,3032.0,632,,,,,,,,63675.0,63121.0
14633,8064,3032.0,656,,,,,,,,63675.0,63120.0
14631,8040,3031.0,640,,,,,,,,63675.0,63120.0
14635,8064,3034.0,640,,,,,,,,63675.0,63120.0
14632,8056,3032.0,624,,,,,,,,63675.0,63121.0
14641,8056,3032.0,664,,,,,,,,63675.0,63119.0
14683,8056,3031.0,664,,,,,,,,63676.0,63120.0
14682,8048,3034.0,640,,,,,,,,63675.0,63119.0
14688,8080,3032.0,656,,,,,,,,63674.0,63120.0
14683,8064,3034.0,656,,,,,,,,63674.0,63119.0
14678,8048,3034.0,632,,,,,,,,63676.0,63120.0
14686,8072,3034.0,632,,,,,,,,63675.0,63120.0
14687,8056,3032.0,640,,,,,,,,63674.0,63119.0
14675,8056,3035.0,624,,,,,,,,63674.0,63118.0
14663,8064,3032.0,648,,,,,,,,63674.0,63120.0
14680,8080,3032.0,632,,,,,,,,63674.0,63119.0
14679,8080,3037.0,632,,,,,,,,63674.0,63120.0
14679,8064,3034.0,664,,,,,,,,63674.0,63120.0
14633,8088,3034.0,640,,,,,,,,63675.0,63121.0
14638,8064,3034.0,640,,,,,,,,63675.0,63120.0
14618,8080,3031.0,680,,,,,,,,63674.0,63120.0
14639,8064,3034.0,664,,,,,,,,63675.0,63120.0
14644,8064,3032.0,656,,,,,,,,63675.0,63121.0
14618,8056,3034.0,632,,,,,,,,63675.0,63120.0
14630,8064,3032.0,656,,,,,,,,63675.0,63121.0
14616,8080,3032.0,632,,,,,,,,63675.0,63120.0
14679,8080,3034.0,648,,,,,,,,63675.0,63121.0
14685,8072,3032.0,664,,,,,,,,63675.0,63120.0
14687,8072,3035.0,632,,,,,,,,63675.0,63121.0
14679,8056,3034.0,656,,,,,,,,63675.0,63120.0
14689,8064,3034.0,632,,,,,,,,63676.0,63121.0
14678,8088,3032.0,656,,,,,,,,63675.0,63121.0
14683,8072,3034.0,632,,,,,,,,63675.0,63121.0
14686,8072,3035.0,656,,,,,,,,63675.0,63120.0
14684,8072,3034.0,640,,,,,,,,63676.0,63122.0
14651,8080,3031.0,640,,,,,,,,63676.0,63122.0
14675,8048,3034.0,640,,,,,,,,63676.0,63122.0
14678,8056,3034.0,656,,,,,,,,63675.0,63121.0
14645,8072,3034.0,664,,,,,,,,63676.0,63122.0
14647,8080,3034.0,664,,,,,,,,63675.0,63121.0
14614,8080,3034.0,640,,,,,,,,63675.0,63122.0
14625,8048,3029.0,632,,,,,,,,63676.0,63121.0
14623,8048,3031.0,616,,,,,,,,63676.0,63122.0
14624,8080,3031.0,656,,,,,,,,63676.0,63121.0
14626,8088,3032.0,664,,,,,,,,63675.0,63121.0
14607,8040,3034.0,648,,,,,,,,63676.0,63120.0
14680,8056,3032.0,656,,,,,,,,63676.0,63122.0
14681,8072,3032.0,656,,,,,,,,63676.0,63121.0
14681,8064,3032.0,640,,,,,,,,63675.0,63122.0
14682,8064,3034.0,640,,,,,,,,63675.0,63121.0
14678,8072,3032.0,664,,,,,,,,63676.0,63121.0
14677,8072,3034.0,624,,,,,,,,63676.0,63121.0
14678,8080,3034.0,648,,,,,,,,63676.0,63123.0
14682,8080,3035.0,648,,,,,,,,63676.0,63122.0
14675,8064,3034.0,632,,,,,,,,63676.0,63123.0
14666,8064,3035.0,648,,,,,,,,63677.0,63122.0
14678,8040,3032.0,648,,,,,,,,63676.0,63123.0
14674,8080,3032.0,656,,,,,,,,63675.0,63122.0
14645,8064,3034.0,648,,,,,,,,63677.0,63123.0
14642,8056,3032.0,648,,,,,,,,63677.0,63122.0
14621,8064,3035.0,648,,,,,,,,63676.0,63123.0
14631,8072,3034.0,640,,,,,,,,63677.0,63123.0
14628,8064,3032.0,648,,,,,,,,63677.0,63124.0
14632,8064,3034.0,640,,,,,,,,63678.0,63123.0
14640,8064,3034.0,648,,,,,,,,63678.0,63125.0
14623,8080,3032.0,648,,,,,,,,63677.0,63124.0
14657,8056,3034.0,648,,,,,,,,63677.0,63123.0
14676,8064,3032.0,640,,,,,,,,63678.0,63123.0
14674,8056,3035.0,664,,,,,,,,63677.0,63125.0
14679,8048,3034.0,632,,,,,,,,63677.0,63124.0
14675,8064,3034.0,632,,,,,,,,63678.0,63124.0
14675,8088,3034.0,648,,,,,,,,63678.0,63124.0
14676,8064,3034.0,624,,,,,,,,63677.0,63125.0
14680,8064,3032.0,664,,,,,,,,63677.0,63124.0
14676,8080,3034.0,640,,,,,,,,63679.0,63125.0
14676,8032,3034.0,640,,,,,,,,63678.0,63125.0
14641,8064,3037.0,648,,,,,,,,63677.0,63124.0
14679,8064,3035.0,664,,,,,,,,63677.0,63124.0
14635,8088,3032.0,648,,,,,,,,63678.0,63125.0
14643,8056,3034.0,640,,,,,,,,63678.0,63124.0
14614,8072,3032.0,656,,,,,,,,63677.0,63124.0
14625,8040,3032.0,640,,,,,,,,63677.0,63124.0
14633,8064,3034.0,648,,,,,,,,63678.0,63125.0
14622,8080,3034.0,648,,,,,,,,63678.0,63124.0
14621,8048,3034.0,632,,,,,,,,63678.0,63126.0
14577,8056,3032.0,656,,,,,,,,63678.0,63124.0
14641,8048,3032.0,656,,,,,,,,63679.0,63126.0
14675,8056,3032.0,632,,,,,,,,63679.0,63125.0
14674,8056,3035.0,648,,,,,,,,63679.0,63127.0
14681,8056,3032.0,624,,,,,,,,63680.0,63126.0
14670,8072,3032.0,656,,,,,,,,63679.0,63126.0
14693,8080,3032.0,656,,,,,,,,63680.0,63125.0
14679,8072,3034.0,640,,,,,,,,63679.0,63125.0
14681,8088,3032.0,640,,,,,,,,63679.0,63126.0
14678,8064,3035.0,648,,,,,,,,63680.0,63126.0
14678,8056,3031.0,656,,,,,,,,63679.0,63126.0
14658,8056,3032.0,632,,,,,,,,63679.0,63126.0
14666,8064,3032.0,648,,,,,,,,63678.0,63125.0
14524,8072,3034.0,632,,,,,,,,63679.0,63126.0
14640,8080,3032.0,624,,,,,,,,63678.0,63124.0
14607,8048,3032.0,656,,,,,,,,63679.0,63127.0
14625,8080,3032.0,656,,,,,,,,63680.0,63126.0
14630,8064,3034.0,616,,,,,,,,63680.0,63127.0
14616,8064,3034.0,664,,,,,,,,63679.0,63126.0
14634,8080,3032.0,664,,,,,,,,63679.0,63127.0
14628,8064,3032.0,664,,,,,,,,63679.0,63125.0
14626,8080,3032.0,664,,,,,,,,63678.0,63127.0
14642,8032,3034.0,616,,,,,,,,63679.0,63124.0
14670,8072,3034.0,616,,,,,,,,63678.0,63127.0
14667,8056,3034.0,632,,,,,,,,63678.0,63125.0
14666,8032,3032.0,640,,,,,,,,63679.0,63126.0
14671,8080,3034.0,640,,,,,,,,63678.0,63126.0
14673,8080,3034.0,632,,,,,,,,63678.0,63127.0
14668,8056,3034.0,632,,,,,,,,63679.0,63126.0
14668,8088,3034.0,648,,,,,,,,63680.0,63127.0
